t,q_t,p_t
705,0.7131294667228039,-0.7010235927075209
706,0.7060835743223925,-0.7081196579127469
707,0.698967073564549,-0.7151449111521816
708,0.691780676099349,-0.722098649900501
709,0.684525100566539,-0.7289801787838304
710,0.6772010725236725,-0.7357888096492814
711,0.6698093243735534,-0.7425238616337675
712,0.662350595290997,-0.7491846612320903
713,0.6548256311489116,-0.7557705423642899
714,0.6472351844437112,-0.762280846442253
715,0.6395800142200665,-0.7687149224355719
716,0.6318608859949998,-0.7750721269366473
717,0.6240785716813335,-0.781351824225029
718,0.6162338495104992,-0.7875533863309883
719,0.6083275039547138,-0.7936761930983144
720,0.6003603256485329,-0.7997196322463307
721,0.5923331113097872,-0.8056830994311224
722,0.5842466636599104,-0.8115659983059709
723,0.5761017913436677,-0.8173677405809887
724,0.5678993088482907,-0.8230877460819485
725,0.5596400364220288,-0.8287254428083001
726,0.5513247999921247,-0.8342802669903708
727,0.5429544310822214,-0.8397516631457426
728,0.5345297667292098,-0.8451390841347998
729,0.5260516493995253,-0.8504419912154434
730,0.5175209269049009,-0.8556598540969654
731,0.508938452317586,-0.8607921509930778
732,0.5003050838850394,-0.8658383686740909
733,0.4916216849441042,-0.8707980025182366
734,0.48288912383467464,-0.8756705565621304
735,0.4741082738128616,-0.8804555435503681
736,0.4652800129636673,-0.8851524849842508
737,0.4564052241131766,-0.889760911169635
738,0.4474847947402746,-0.8942803612639022
739,0.43851961688789853,-0.8987103833220431
740,0.4295105870738337,-0.9030505343418518
741,0.4204586062010615,-0.9073003803082262
742,0.4113645794676692,-0.9114594962365699
743,0.40222941627633013,-0.9155274662152898
744,0.39305403014336343,-0.9195038834473882
745,0.3838393386073824,-0.9233883502911419
746,0.3745862631375406,-0.9271804782998664
747,0.3652957290413851,-0.930879888260761
748,0.3559686653723254,-0.9344862102328295
749,0.3466060048367285,-0.9379990835838748
750,0.3372086837006479,-0.9414181570265617
751,0.3277776416961972,-0.944743088653546
752,0.31831382192757696,-0.9479735459716648
753,0.30881817077676393,-0.9511092059351866
754,0.29929163780887325,-0.9541497549781147
755,0.28973517567720164,-0.9570948890455451
756,0.28014974002796234,-0.959944313624071
757,0.27053628940472024,-0.9626977437712344
758,0.26089578515253764,-0.9653549041440207
759,0.2512291913218398,-0.9679155290263926
760,0.24153747457200977,-0.9703793623558618
761,0.23182160407472255,-0.9727461577490955
762,0.22208255141702785,-0.9750156785265542
763,0.21232129050419146,-0.9771876977361603
764,0.20253879746230466,-0.9792619981759928
765,0.1927360505406716,-0.9812383724160076
766,0.1829140300139845,-0.9831166228187809
767,0.173073718084296,-0.9848965615592723
768,0.16321609878279905,-0.9865780106436078
769,0.15334215787142383,-0.9881608019268789
770,0.14345288274426146,-0.9896447771299574
771,0.13354926232882466,-0.9910297878553228
772,0.12363228698715499,-0.9923156956019027
773,0.1137029484167866,-0.9935023717789224
774,0.10376223955157654,-0.9945896977187643
775,0.09381115446241131,-0.9955775646888342
776,0.08385068825779984,-0.9964658739024352
777,0.0738818369843626,-0.997254536528646
778,0.06390559752722692,-0.997943473701204
779,0.053922967510338524,-0.9985326165263918
780,0.04393494519669909,-0.999021906089927
781,0.033942529388539984,-0.9994112934628532
782,0.023946719327442023,-0.999700739706433
783,0.013948514594411321,-0.9998902158760423
784,0.003948915009921176,-0.999979703024064
785,-0.006051079466069961,-0.9999691922017833
786,-0.01605046883411449,-0.9998586844602824
787,-0.026048253155275612,-0.9996481908503354
788,-0.0360434326511212,-0.9993377324213034
789,-0.04603500780370168,-0.9989273402190294
790,-0.05602197945550179,-0.9984170552827334
791,-0.06600334890935634,-0.997806928640909
792,-0.07597811802831997,-0.9970970213062206
793,-0.08594528933548076,-0.9962874042694015
794,-0.095903866113708,-0.9953781584921556
795,-0.10585285250532388,-0.9943693748990604
796,-0.11579125361168921,-0.9932611543684753
797,-0.12571807559269338,-0.9920536077224533
798,-0.1356323257661383,-0.9907468557156591
799,-0.14553301270700658,-0.9893410290232934
800,-0.15541914634660417,-0.9878362682280253
801,-0.1652897380715671,-0.9862327238059344
802,-0.17514380082272288,-0.9845305561114629
803,-0.18498034919379636,-0.9827299353613803
804,-0.19479839952995048,-0.9808310416177616
805,-0.2045969700261516,-0.978834064769981
806,-0.2143750808253501,-0.9767392045157235
807,-0.22413175411646605,-0.9745466703410144
808,-0.23386601423217038,-0.9722566814992712
809,-0.24357688774645148,-0.9698694669893781
810,-0.2532634035719579,-0.967385265532786
811,-0.2629245930571072,-0.9648043255496407
812,-0.2725594900829507,-0.9621269051339404
813,-0.282167131159786,-0.9593532720277267
814,-0.29174655552350526,-0.9564837035943102
815,-0.3012968052316722,-0.9535184867905343
816,-0.3108169252593159,-0.9504579181380793
817,-0.32030596359443375,-0.9473023036938106
818,-0.32976297133319216,-0.9440519590191725
819,-0.3391870027748172,-0.9407072091486324
820,-0.3485771155161648,-0.9372683885571774
821,-0.3579323705459608,-0.9337358411268668
822,-0.3672518323387021,-0.9301099201124435
823,-0.37653456894820964,-0.926390988106009
824,-0.3857796521008223,-0.9225794170007637
825,-0.3949861572882249,-0.9186755879538184
826,-0.4041531638598987,-0.9146798913480778
827,-0.4132797551151865,-0.9105927267532025
828,-0.42236501839496277,-0.9064145028856517
829,-0.43140804517289955,-0.9021456375678124
830,-0.44040793114631904,-0.8977865576862163
831,-0.4493637763266239,-0.8933376991488515
